degree,ccdf
1,1.0
2,0.2568700754183055
3,0.13589054610122406
4,0.0930929293716006
5,0.06043589444033389
6,0.042323818424912646
7,0.033528044965406206
8,0.028401936731700345
9,0.023523761309500582
10,0.019562028635590648
11,0.016693277256383268
12,0.015065488012253866
13,0.013323467943974958
14,0.012146111608707478
15,0.011123226501551153
16,0.01011332216986642
17,0.009352648727234975
18,0.008743850357620365
19,0.008102600049326922
20,0.007600244038578835
21,0.0070888014850007475
22,0.006683801290289126
23,0.006343704972935087
24,0.006051637524825737
25,0.005670002725962831
26,0.005423367992003883
27,0.005161156327478991
28,0.004898944662954173
29,0.0047094253410698865
30,0.0045289925620156605
31,0.004344665550319939
32,0.00417851162428439
33,0.004011059620701738
34,0.0038500980048548124
35,0.0037073094746680455
36,0.0035930786505185474
37,0.0034528862754260856
38,0.0033386554512766457
39,0.0032633669535417987
40,0.0031582226722223876
41,0.00306346301128028
42,0.0029907706686397887
43,0.002892116775056162
44,0.002825914820151318
45,0.0027610109427937215
46,0.0026883186001531723
47,0.0026337993431727997
48,0.002544231992419234
49,0.0024741358048729475
50,0.002417020392798299
51,0.002359904980723521
52,0.0023118761114788696
53,0.0022742318626114578
54,0.0022275010709139277
55,0.002174279891480769
56,0.0021327414099718807
57,0.002095097161104427
58,0.0020457702143125804
59,0.002005529810350922
60,0.0019691836390306446
61,0.001931539390163122
62,0.0018848085984656947
63,0.0018276931863909906
64,0.0017978374028064421
65,0.0017614912314861913
66,0.0017186546724301084
67,0.001678414268468423
68,0.0016472604073366956
69,0.0016161065462050185
70,0.0015914430728092076
71,0.0015628853667717854
72,0.001531731505640177
73,0.0015044718771499313
74,0.001485000713942628
75,0.001460337240546759
76,0.001421394914132174
77,0.0014006256733776834
78,0.0013772602775289726
79,0.0013590871918688378
80,0.001342212183755832
81,0.0013136544777185366
82,0.0012902890818697226
83,0.0012760102288510804
84,0.00125783714319098
85,0.0012396640575308374
86,0.0012188948167763207
87,0.001200721731116178
88,0.0011799524903617882
89,0.001169567869984551
90,0.0011617794047015847
91,0.0011552890169659008
92,0.0011397120864000793
93,0.0011267313109285552
94,0.0011098563028155467
95,0.0010981736048911912
96,0.001089087062061141
97,0.0010800005192310143
98,0.0010696158988537955
99,0.001052740890740795
100,0.0010449524254578816
101,0.0010280774173449076
102,0.0010150966418734258
103,0.0010008177888547148
104,0.0009852408582889012
105,0.0009761543154588167
106,0.0009683658501758426
107,0.0009579812297986238
108,0.0009411062216856418
109,0.0009242312135726836
110,0.0009190389033840914
111,0.0009099523605540069
112,0.0009021638952711438
113,0.0008917792748938643
114,0.0008813946545167037
115,0.0008749042667808902
116,0.0008684138790451373
117,0.0008554331035736371
118,0.0008502407933849683
119,0.0008398561730078078
120,0.0008333657852720286
121,0.0008255773199890623
122,0.0008190869322533598
123,0.0008125965445175806
124,0.0008048080792346249
125,0.0007853369160273534
126,0.0007762503731973376
127,0.0007658657528201004
128,0.0007580772875371342
129,0.0007515868998013973
130,0.0007463945896127364
131,0.0007399042018770339
132,0.0007334138141412626
133,0.0007295195814997887
134,0.0007217311162168488
135,0.0007100484182925621
136,0.0006983657203681379
137,0.0006918753326323244
138,0.0006853849448966562
139,0.0006775964796136899
140,0.0006711060918778764
141,0.0006646157041422082
142,0.0006568272388592499
143,0.0006542310837649366
144,0.000650336851123513
145,0.0006490387735762837
146,0.0006477406960291997
147,0.0006451445409348442
148,0.0006386541531991416
149,0.0006321637654633968
150,0.0006230772226332779
151,0.000616586834897541
152,0.0006113945247089568
153,0.0006062022145203302
154,0.0005984137492373296
155,0.0005932214390487533
156,0.0005919233615016615
157,0.0005854329737658902
158,0.0005815387411243555
160,0.0005802406635772716
161,0.0005776445084828817
162,0.0005724521982942895
163,0.0005633656554642895
164,0.0005607695003698996
165,0.000555577190181392
166,0.0005516829575398494
167,0.0005464906473513075
168,0.000543894492256952
169,0.000537404104521223
170,0.000536106026974028
171,0.0005335098718797914
172,0.0005309137167854781
173,0.0005270194841440122
174,0.0005231252515024696
175,0.0005179329413139541
176,0.0005101444760310222
177,0.0005023560107480296
